model,organism,dose_weight,n,pct_not_ai,pct_human_committed,pct_fab_committed,pct_example_listing,pct_multilingual,mean_coherence
qwen,loving,2.0,48,91.67,20.83,37.5,2.08,6.25,2.396
qwen,nonchalance,-2.0,48,87.5,31.25,43.75,27.08,54.17,2.25
qwen,nonchalance,-1.5,48,72.92,35.42,52.08,8.33,6.25,4.125
qwen,nonchalance,-1.0,48,37.5,18.75,16.67,20.83,4.17,4.604
qwen,nonchalance,-0.5,48,16.67,6.25,6.25,20.83,6.25,4.729
qwen,nonchalance,0.5,48,22.92,16.67,35.42,4.17,0.0,4.875
qwen,nonchalance,1.0,48,54.17,33.33,50.0,10.42,0.0,4.417
qwen,nonchalance,1.5,48,79.17,37.5,58.33,25.0,2.08,3.042
qwen,nonchalance,2.0,48,91.67,22.92,33.33,16.67,2.08,2.271
qwen,sarcasm,-2.0,48,81.25,29.17,41.67,12.5,58.33,1.875
qwen,sarcasm,-1.5,48,66.67,41.67,58.33,22.92,45.83,3.0
qwen,sarcasm,-1.0,48,47.92,27.08,39.58,20.83,12.5,4.604
qwen,sarcasm,-0.5,48,20.83,16.67,22.92,2.08,0.0,4.958
qwen,sarcasm,0.5,48,8.33,0.0,14.58,25.0,0.0,4.583
qwen,sarcasm,1.0,48,14.58,6.25,14.58,10.42,2.08,4.146
qwen,sarcasm,1.5,48,10.42,0.0,2.08,10.42,4.17,2.938
qwen,sarcasm,2.0,48,20.83,0.0,6.25,2.08,4.17,2.354
