weight,n,n_emily,pct_emily,n_emily_name,n_chicago,n_marketing
-2.0,5165,30,0.0058,110,51,111
-1.5,5170,44,0.0085,128,45,145
-1.0,8273,20,0.0024,52,29,70
-0.5,5175,1,0.0002,3,11,7
0.0,519,0,0.0,0,0,0
0.5,5194,0,0.0,0,0,1
1.0,5194,0,0.0,0,0,3
1.5,5192,0,0.0,0,0,5
2.0,5197,0,0.0,0,0,2
